,place_id,location,dataset
1557,road_30,"{'type': 'LineString', 'coordinates': [[-9.15953, 38.720502], [-9.159336, 38.720459], [-9.158815, 38.720346], [-9.158546, 38.720314], [-9.158316, 38.720306], [-9.158036, 38.720325], [-9.157555, 38.72038], [-9.157323, 38.720425], [-9.157119, 38.720484], [-9.156931, 38.720558], [-9.156374, 38.720821], [-9.156204, 38.720843], [-9.15607, 38.720839], [-9.15576, 38.720755]]}",waze
1840,road_31,"{'type': 'LineString', 'coordinates': [[-9.154047, 38.723849], [-9.152887, 38.722582], [-9.152143, 38.721763]]}",waze
2224,road_32,"{'type': 'LineString', 'coordinates': [[-9.146186, 38.72249], [-9.147337, 38.723843], [-9.148444, 38.725108], [-9.148581, 38.725287], [-9.148605, 38.725394]]}",waze
2234,road_33,"{'type': 'LineString', 'coordinates': [[-9.145373, 38.730344], [-9.145892, 38.729467], [-9.146381, 38.728653], [-9.146676, 38.72817]]}",waze
2236,road_34,"{'type': 'LineString', 'coordinates': [[-9.146182, 38.731692], [-9.146717, 38.730789], [-9.147239, 38.729954], [-9.147678, 38.729242]]}",waze
2504,road_35,"{'type': 'LineString', 'coordinates': [[-9.154223, 38.715201], [-9.15446, 38.71553], [-9.154857, 38.71615], [-9.155054, 38.717011], [-9.155563, 38.718392], [-9.155578, 38.71849], [-9.155604, 38.718799], [-9.155682, 38.719718]]}",waze
2521,road_36,"{'type': 'LineString', 'coordinates': [[-9.156214, 38.714546], [-9.15623, 38.714891], [-9.156624, 38.7156], [-9.156823, 38.71575], [-9.156958, 38.715917], [-9.157048, 38.716052], [-9.15709, 38.716143], [-9.157162, 38.716519], [-9.157275, 38.716885], [-9.157429, 38.717206], [-9.157569, 38.717307]]}",waze
2542,road_37,"{'type': 'LineString', 'coordinates': [[-9.152082, 38.732051], [-9.151106, 38.730925], [-9.150893, 38.730681], [-9.150796, 38.730564], [-9.150208, 38.729891], [-9.150014, 38.729655], [-9.148535, 38.72793]]}",waze
2625,road_38,"{'type': 'LineString', 'coordinates': [[-9.157569, 38.717307], [-9.157181, 38.7178], [-9.156158, 38.719172], [-9.155998, 38.719299], [-9.155682, 38.719718]]}",waze
3128,road_39,"{'type': 'LineString', 'coordinates': [[-9.147554, 38.72811], [-9.147203, 38.728044], [-9.147035, 38.727989], [-9.146866, 38.727896], [-9.146676, 38.72817], [-9.147203, 38.728044], [-9.147554, 38.72811]]}",waze
