,delay_road0,spatial_extension_road0,spatial_extension_road1,speed_road0,speed_road1
2018-11-25 23:00:00,0.0,0.0,0.0,14.685,14.685
2018-11-25 23:15:00,0.0,0.0,0.0,14.685,14.685
2018-11-25 23:30:00,0.0,0.0,0.0,14.685,14.685
2018-11-25 23:45:00,0.0,0.0,0.0,14.685,14.685
2018-11-26 00:00:00,0.0,0.0,0.0,14.685,14.685
2018-11-26 00:15:00,0.0,0.0,0.0,14.685,14.685
2018-11-26 00:30:00,0.0,0.0,0.0,14.685,14.685
2018-11-26 00:45:00,0.0,0.0,0.0,14.685,14.685
2018-11-26 01:00:00,0.0,0.0,0.0,14.685,14.685
2018-11-26 01:15:00,0.0,0.0,0.0,14.685,14.685
2018-11-26 01:30:00,0.0,0.0,0.0,14.685,14.685
2018-11-26 01:45:00,0.0,0.0,0.0,14.685,14.685
2018-11-26 02:00:00,0.0,0.0,0.0,14.685,14.685
2018-11-26 02:15:00,0.0,0.0,0.0,14.685,14.685
2018-11-26 02:30:00,0.0,0.0,0.0,14.685,14.685
2018-11-26 02:45:00,0.0,0.0,0.0,14.685,14.685
2018-11-26 03:00:00,0.0,0.0,0.0,14.685,14.685
2018-11-26 03:15:00,0.0,0.0,0.0,14.685,14.685
2018-11-26 03:30:00,0.0,0.0,0.0,14.685,14.685
2018-11-26 03:45:00,0.0,0.0,0.0,14.685,14.685
2018-11-26 04:00:00,0.0,0.0,0.0,14.685,14.685
2018-11-26 04:15:00,0.0,0.0,0.0,14.685,14.685
2018-11-26 04:30:00,0.0,0.0,0.0,14.685,14.685
2018-11-26 04:45:00,0.0,0.0,0.0,14.685,14.685
2018-11-26 05:00:00,0.0,0.0,0.0,14.685,14.685
2018-11-26 05:15:00,0.0,0.0,0.0,14.685,14.685
2018-11-26 05:30:00,0.0,0.0,0.0,14.685,14.685
2018-11-26 05:45:00,0.0,0.0,0.0,14.685,14.685
